"","unique_group","p.val","r.sq","avg","acro","amplitude","q.val"
"Variable_37.3","C",0.747319289254046,0.0205895623705547,0.381464084191838,15.2731399933433,0.253989607090949,0.945049550399083
"Variable_38.1","B",0.342864160636462,0.0711631123733169,6.00638017163688,10.3095108397862,0.0465568219908723,0.676711121668683
"Variable_38.2","A",0.761248329478485,0.019296790460079,5.95273981898168,3.98946348899336,0.0326397498712287,0.947331254462114
"Variable_38.3","C",0.32618173141155,0.0769034736725361,6.02684711281923,12.5804969135616,0.0359142990859115,0.656269830863958
"Variable_39.1","B",0.0432367253843922,0.194768265310116,0.480091964031292,12.6713390814981,0.343118556464282,0.250474822916479
"Variable_39.2","A",0.523383091193662,0.0451927852222153,0.433780238153572,12.9787220708895,0.148822392922858,0.814113186888063
"Variable_39.3","C",0.641446258116751,0.0312187294476578,0.152452852490687,7.44842846730002,0.147283448234518,0.869056220674307
"Variable_40.1","B",0.0190206045576904,0.23910309963305,-0.0332691432151434,1.64820303895503,0.154613324400385,0.152164836461523
"Variable_40.2","A",0.851723905001023,0.0113983169990967,-0.376909345747074,8.48899663397281,0.061131608635087,0.964973090602404
"Variable_40.3","C",0.125846497902689,0.137611536478974,-0.341301881687535,22.9800806806119,0.0833854558863059,0.4145531695618
"Variable_41.1","B",0.47643406789513,0.0498475399129113,-3.13363630270405,4.43743164644868,0.170430898539517,0.770880792493005
"Variable_41.2","A",0.0926257801434387,0.156286235732921,-3.31912442008984,22.0928944540531,0.204502250991645,0.359020189775406
"Variable_41.3","C",0.25938303403946,0.0918895291482337,-3.21603135894103,11.1879215172812,0.100430294792962,0.587068965985614
"Variable_42.1","B",0.78897669331191,0.0162132307385757,2.07098403430337,6.44412535791186,0.0927878159333298,0.962554606287715
"Variable_42.2","A",0.0653623389109408,0.177036560830539,2.00443602474392,22.6922189819249,0.162680952426009,0.317193951760763
"Variable_42.3","C",0.247676235795731,0.0948802859614559,1.95629411172655,8.39775459828805,0.0944037506853384,0.583752471579385
"Variable_43.1","B",0.610157775932154,0.0334976664895935,-0.967478355357406,12.4373724087813,0.321553981286928,0.840217265218048
"Variable_43.2","A",0.177721217793658,0.116086130225364,-1.39953813676092,21.0564207164804,0.579770931036069,0.510378881868966
"Variable_43.3","C",0.824901031744046,0.0136553271403724,-1.42513331127771,5.80540795449264,0.139788656932292,0.964973090602404
"Variable_44.1","B",0.176943099058866,0.112585629621479,1.46047814969968,23.7099672017558,0.338683809835177,0.510378881868966
"Variable_44.2","A",0.573820989272234,0.0388974157730996,1.96677639582165,7.03901267199948,0.263197545865608,0.826218978426
"Variable_44.3","C",0.285407869792829,0.0856663352688146,2.33446009627391,13.3531817547688,0.316250940565986,0.599022027599833
"Variable_45.1","B",0.0773409844840484,0.161817479638358,-0.656867635494407,16.238076738421,0.776405562189672,0.346376638698888
"Variable_45.2","A",0.235398087699947,0.098161481101341,-0.735679762249115,18.8383729979317,0.610673217587288,0.582141350168147
"Variable_45.3","C",0.282549356372675,0.0863235069239324,-0.938311173436152,12.6325572685627,0.406106118291904,0.59708543233471
"Variable_46.1","B",0.896752599052553,0.00748736444794332,1.09608395268074,10.9992889498325,0.139456563041277,0.971964107360186
"Variable_46.2","A",0.0833287596901095,0.162636700012509,0.880735514283828,21.0237773244156,0.526631907998655,0.348840264388263
"Variable_46.3","C",0.807449751351752,0.0151606491158828,0.958735846152708,7.19841679761254,0.111037855438371,0.964973090602404
"Variable_47.1","B",0.278531814501166,0.0843795075592662,-7.35372988090656,3.28173765006126,0.718527714719609,0.592320820711341
"Variable_47.2","A",0.562275051861132,0.0402918099997785,-5.7973942254733,21.212654131815,0.313466664754193,0.826218978426
"Variable_47.3","C",0.480647486002813,0.0509844382845858,-5.32621545634426,16.3945912166207,0.288752648891607,0.770880792493005
"Variable_48.1","B",2.69200328521414e-07,0.647708824666947,-1.52511584326134,10.0589704585816,0.66892609673822,2.33857635928809e-05
"Variable_48.2","A",2.94694697516691e-10,0.791435263968247,-1.51631301558088,9.54190402375469,0.810403981065219,4.95087091828041e-08
"Variable_48.3","C",7.61885368651653e-13,0.863723588776837,-1.78265945270555,9.21559794698317,0.897651554139466,2.55993483866955e-10
"Variable_49.1","B",0.322046820452545,0.0751668669124313,1.12357879765483,21.6308779617115,0.084706150237991,0.653497480986399
"Variable_49.2","A",0.202003705784709,0.107963120558516,0.760183233083126,5.51417898860353,0.639487098453601,0.544777635424726
"Variable_49.3","C",0.0660820732834923,0.176392559405568,0.957969447616827,17.2285139316843,0.100036573152921,0.317193951760763
"Variable_50.1","B",0.771273454631431,0.0177517406234778,-3.64433678486936,23.4388455356654,0.0348206354806474,0.952749561603532
"Variable_50.2","A",0.268343467187083,0.0896839159257091,-3.67085600065555,4.62631142371581,0.0721078188105942,0.587068965985614
"Variable_50.3","C",0.654892713339466,0.0297820683759237,-3.66908006831304,2.68433585270208,0.0385166852312415,0.876669130207413
"Variable_51.1","B",0.555521644266241,0.0397304197480578,-3.65879137009062,15.9397964283517,0.7052135756749,0.826218978426
"Variable_51.2","A",0.667453248502579,0.0284645943247339,-3.70347991208225,10.1844830570849,0.528393545229292,0.882930281483727
"Variable_51.3","C",0.967486961916238,0.00235816730341764,-2.94764062008876,19.6194975611394,0.139178615307363,0.997164476085447
"Variable_52.1","B",0.863633506001873,0.010059870191666,-5.02226296031773,22.9728199159978,0.0483885349127935,0.964973090602404
"Variable_52.2","A",0.276052233920634,0.0878404598621813,-4.73062793384849,19.2318847055569,0.481310705404696,0.592320820711341
"Variable_52.3","C",0.20939685698314,0.105669857459943,-4.61071736719561,9.27235820209072,0.433293417469098,0.553832340658174
"Variable_53.1","B",0.0139765975352808,0.255102267296505,3.99550242540402,14.2477546331154,0.383630917197036,0.127529913434812
"Variable_53.2","A",0.43973053050178,0.0569964449828771,4.0227057808103,17.1678314549108,0.145952509403452,0.75768952947999
"Variable_53.3","C",0.212207478191473,0.104817718671688,4.22042047621777,17.2265065080959,0.232303783701749,0.553832340658174
"Variable_54.1","B",0.893861421479008,0.00770838000360728,1.47557632028197,13.9921318961198,0.05670962882924,0.971964107360186
"Variable_54.2","A",0.0773339315523658,0.16709040802154,1.61593144973961,20.7421423348316,0.311283828863218,0.346376638698888
"Variable_54.3","C",0.254670414895927,0.0930780929837927,1.7363217470729,10.6436183178592,0.205224306481713,0.583752471579385
"Variable_55.1","B",0.340253833927277,0.07165253974938,1.59283586467879,15.6893699174317,0.552735887748522,0.676480995263698
"Variable_55.2","A",0.00533323767333442,0.311914810848524,1.47769309679422,9.53827699432134,0.979262692296055,0.0810266240208817
"Variable_55.3","C",0.859646944466105,0.0107442567994002,1.17995601339056,14.3615980015474,0.134959852439875,0.964973090602404
"Variable_56.1","B",0.865302220109591,0.00992807394099276,-2.33045520719069,5.16908633421431,0.0562692408045172,0.964973090602404
