"","Feature","Comparison","Effect","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"1135","Variable_64","B vs A","unique_group",1,1.99508227712639,1.99508227712639,6.7829880682059,0.0117158768928582
"1136","Variable_64","B vs A","Timepoint_cos",1,0.541470699242307,0.541470699242307,1.84092121630882,0.18019228673154
"1137","Variable_64","B vs A","Timepoint_sin",1,0.764498938408166,0.764498938408166,2.59918462352727,0.112442539930253
"1138","Variable_64","B vs A","unique_group:Timepoint_cos",1,0.479857342523851,0.479857342523851,1.63144481112248,0.206681661116579
"1139","Variable_64","B vs A","unique_group:Timepoint_sin",1,0.893671549481567,0.893671549481567,3.03835261659464,0.0867107568431905
"1140","Variable_64","B vs A","Residuals",57,16.7654267783907,0.294130294357732,NA,NA
"1141","Variable_64","B vs C","unique_group",1,0.595845479610391,0.595845479610391,1.17846703585026,0.282238215609629
"1142","Variable_64","B vs C","Timepoint_cos",1,0.0513779445296503,0.0513779445296503,0.101615630343502,0.751064557065434
"1143","Variable_64","B vs C","Timepoint_sin",1,0.164298237131182,0.164298237131182,0.324950113969164,0.570888012822939
"1144","Variable_64","B vs C","unique_group:Timepoint_cos",1,0.0879191697852456,0.0879191697852456,0.173887101533408,0.67824641706208
"1145","Variable_64","B vs C","unique_group:Timepoint_sin",1,0.123612407911721,0.123612407911721,0.24448141830545,0.622888334342644
"1146","Variable_64","B vs C","Residuals",57,28.8198068376923,0.505610646275303,NA,NA
"1147","Variable_64","A vs C","unique_group",1,0.403910366912807,0.403910366912807,1.11900892013515,0.294673846538324
"1148","Variable_64","A vs C","Timepoint_cos",1,0.18723678488492,0.18723678488492,0.518728038760344,0.474380371422898
"1149","Variable_64","A vs C","Timepoint_sin",1,0.28961128345057,0.28961128345057,0.80235031358563,0.374225889460595
"1150","Variable_64","A vs C","unique_group:Timepoint_cos",1,0.977810016844294,0.977810016844294,2.7089627320273,0.105387621742122
"1151","Variable_64","A vs C","unique_group:Timepoint_sin",1,1.64280222154898,1.64280222154898,4.55128288481882,0.0372894480082862
"1152","Variable_64","A vs C","Residuals",56,20.2134050409405,0.360953661445366,NA,NA
"1153","Variable_65","B vs A","unique_group",1,0.00275093339837446,0.00275093339837446,0.0795870854777229,0.778879569929393
"1154","Variable_65","B vs A","Timepoint_cos",1,0.000258548574434105,0.000258548574434105,0.00748005295431348,0.931382155215979
"1155","Variable_65","B vs A","Timepoint_sin",1,0.0101360088427715,0.0101360088427715,0.293244250351277,0.59025947313992
"1156","Variable_65","B vs A","unique_group:Timepoint_cos",1,0.00193260839256828,0.00193260839256828,0.0559121749094992,0.813925319555554
"1157","Variable_65","B vs A","unique_group:Timepoint_sin",1,0.0355063747731421,0.0355063747731421,1.02723275152497,0.31509253432676
"1158","Variable_65","B vs A","Residuals",57,1.97020914594535,0.0345650727358834,NA,NA
"1159","Variable_65","B vs C","unique_group",1,0.12144558699758,0.12144558699758,4.03585692616179,0.0492877728715255
"1160","Variable_65","B vs C","Timepoint_cos",1,0.00893150495645103,0.00893150495645103,0.296810094386217,0.588014459472642
"1161","Variable_65","B vs C","Timepoint_sin",1,0.00218850620725024,0.00218850620725024,0.0727280270353088,0.788379341142376
"1162","Variable_65","B vs C","unique_group:Timepoint_cos",1,0.00452720933847308,0.00452720933847308,0.150447370024446,0.699552972352666
"1163","Variable_65","B vs C","unique_group:Timepoint_sin",1,0.00162937948157664,0.00162937948157664,0.0541472327536943,0.816831338395287
"1164","Variable_65","B vs C","Residuals",57,1.71522395008325,0.0300916482470745,NA,NA
"1165","Variable_65","A vs C","unique_group",1,0.0862709521438872,0.0862709521438872,2.23192983204385,0.140798530666078
"1166","Variable_65","A vs C","Timepoint_cos",1,0.00266512812426888,0.00266512812426888,0.0689499630982833,0.793835422651223
"1167","Variable_65","A vs C","Timepoint_sin",1,0.0211855844096973,0.0211855844096973,0.548095699400913,0.462189632041179
"1168","Variable_65","A vs C","unique_group:Timepoint_cos",1,0.0117086131107773,0.0117086131107773,0.302915433809262,0.584249297074918
"1169","Variable_65","A vs C","unique_group:Timepoint_sin",1,0.0210707231935374,0.0210707231935374,0.545124106199245,0.46339993470514
"1170","Variable_65","A vs C","Residuals",56,2.16457222386495,0.0386530754261598,NA,NA
"1171","Variable_66","B vs A","unique_group",1,1.18532578681675,1.18532578681675,0.534082210471602,0.467889132390876
"1172","Variable_66","B vs A","Timepoint_cos",1,12.3817740830883,12.3817740830883,5.57896010143756,0.0216161690022787
"1173","Variable_66","B vs A","Timepoint_sin",1,0.63684676616126,0.63684676616126,0.286949404447301,0.594266206956074
"1174","Variable_66","B vs A","unique_group:Timepoint_cos",1,0.520405491117975,0.520405491117975,0.234483479672088,0.630074587532785
"1175","Variable_66","B vs A","unique_group:Timepoint_sin",1,4.21059287669088,4.21059287669088,1.89720225105227,0.173776618075369
"1176","Variable_66","B vs A","Residuals",57,126.504063464116,2.21936953445818,NA,NA
"1177","Variable_66","B vs C","unique_group",1,18.4403810112898,18.4403810112898,12.5682794974729,0.00079189264218951
"1178","Variable_66","B vs C","Timepoint_cos",1,1.25927992037256,1.25927992037256,0.85827847022835,0.358127001165073
"1179","Variable_66","B vs C","Timepoint_sin",1,0.0269319612020901,0.0269319612020901,0.0183558254894913,0.892706803755354
"1180","Variable_66","B vs C","unique_group:Timepoint_cos",1,3.06047470613345,3.06047470613345,2.08590600585107,0.154138605718743
"1181","Variable_66","B vs C","unique_group:Timepoint_sin",1,2.09836690300966,2.09836690300966,1.43016902465983,0.236688161231833
"1182","Variable_66","B vs C","Residuals",57,83.631313089024,1.46721601910568,NA,NA
"1183","Variable_66","A vs C","unique_group",1,10.1146784693529,10.1146784693529,9.17205761097913,0.00371219709218121
"1184","Variable_66","A vs C","Timepoint_cos",1,3.04589609760138,3.04589609760138,2.76203881012183,0.102113703414635
"1185","Variable_66","A vs C","Timepoint_sin",1,4.92696012400647,4.92696012400647,4.46780016204264,0.0390070686070169
"1186","Variable_66","A vs C","unique_group:Timepoint_cos",1,6.11057281006615,6.11057281006615,5.54110800653013,0.0221086680935765
"1187","Variable_66","A vs C","unique_group:Timepoint_sin",1,0.328164410062039,0.328164410062039,0.297581666494097,0.587568892225656
"1188","Variable_66","A vs C","Residuals",56,61.7551718826696,1.10277092647624,NA,NA
"1189","Variable_67","B vs A","unique_group",1,32.3556966524688,32.3556966524688,2.34184329234175,0.131471796551455
"1190","Variable_67","B vs A","Timepoint_cos",1,13.538222282138,13.538222282138,0.979870573710469,0.326414345508057
"1191","Variable_67","B vs A","Timepoint_sin",1,18.1592872435292,18.1592872435292,1.31433439624986,0.256401375835345
"1192","Variable_67","B vs A","unique_group:Timepoint_cos",1,4.36398681901908,4.36398681901908,0.315856999456936,0.576311591243258
"1193","Variable_67","B vs A","unique_group:Timepoint_sin",1,21.5774339883618,21.5774339883618,1.56173330447318,0.21651864012586
"1194","Variable_67","B vs A","Residuals",57,787.531221761009,13.8163372238773,NA,NA
"1195","Variable_67","B vs C","unique_group",1,25.4461422045578,25.4461422045578,1.64334278719704,0.20505719852588
"1196","Variable_67","B vs C","Timepoint_cos",1,3.33680032052482,3.33680032052482,0.215494619772621,0.644262605296932
"1197","Variable_67","B vs C","Timepoint_sin",1,0.383277371461802,0.383277371461802,0.0247525184298772,0.875541297045435
"1198","Variable_67","B vs C","unique_group:Timepoint_cos",1,0.0140657559881328,0.0140657559881328,0.000908383615235454,0.976061159849392
"1199","Variable_67","B vs C","unique_group:Timepoint_sin",1,0.0772952029300254,0.0772952029300254,0.00499181813883117,0.943921393724976
"1200","Variable_67","B vs C","Residuals",57,882.609591230636,15.4843787935199,NA,NA
"1201","Variable_67","A vs C","unique_group",1,0.40798937564825,0.40798937564825,0.0615788138786848,0.804925460373395
"1202","Variable_67","A vs C","Timepoint_cos",1,14.4003652980188,14.4003652980188,2.1734816331009,0.14600785239352
"1203","Variable_67","A vs C","Timepoint_sin",1,16.4304702500221,16.4304702500221,2.4798902369891,0.120943483734144
"1204","Variable_67","A vs C","unique_group:Timepoint_cos",1,4.02755770018732,4.02755770018732,0.607888932429758,0.438866586617646
"1205","Variable_67","A vs C","unique_group:Timepoint_sin",1,23.523058957815,23.523058957815,3.55039164223107,0.0647260587492969
"1206","Variable_67","A vs C","Residuals",56,371.027039938009,6.62548285603588,NA,NA
"1207","Variable_68","B vs A","unique_group",1,0.0494577301157762,0.0494577301157762,2.3267978298808,0.132693119929789
"1208","Variable_68","B vs A","Timepoint_cos",1,0.0368674228424821,0.0368674228424821,1.73447182598908,0.193111079824595
"1209","Variable_68","B vs A","Timepoint_sin",1,0.00326374790100896,0.00326374790100896,0.153546907946818,0.696629824564694
"1210","Variable_68","B vs A","unique_group:Timepoint_cos",1,0.00178638243586076,0.00178638243586076,0.0840424897254255,0.772944107169097
"1211","Variable_68","B vs A","unique_group:Timepoint_sin",1,0.0566078882891924,0.0566078882891924,2.66318553878422,0.108208092383592
"1212","Variable_68","B vs A","Residuals",57,1.21157523029994,0.0212557057947358,NA,NA
"1213","Variable_68","B vs C","unique_group",1,0.044048184876305,0.044048184876305,2.11184243543689,0.151646857944788
"1214","Variable_68","B vs C","Timepoint_cos",1,0.00271062928201477,0.00271062928201477,0.129958180128688,0.719807919350262
"1215","Variable_68","B vs C","Timepoint_sin",1,0.0283875513604483,0.0283875513604483,1.36101035194729,0.248220271022082
"1216","Variable_68","B vs C","unique_group:Timepoint_cos",1,0.0098992411874849,0.0098992411874849,0.474608378916452,0.493669478615176
