Name	CC10.fastq	CC101.fastq	CC102.fastq	CC103.fastq	CC117.fastq	CC118.fastq	CC122.fastq	CC123.fastq	CC13.fastq	CC14.fastq	CC15.fastq	CC16.fastq	CC17.fastq	CC18.fastq	CC19.fastq	CC20.fastq	CC6.fastq	CC67.fastq	CC68.fastq	CC69.fastq	CC7.fastq	CC70.fastq	CC71.fastq	CC78.fastq	CC79.fastq	CC8.fastq	CC80.fastq	CC81.fastq	CC82.fastq	CC83.fastq	CC9.fastq
Species_4712	15	4	4	2	1	1	1	3	5	2	3	1	2	2	2	2	11	2	3	0	11	1	0	5	1	16	2	3	4	4	2
Species_4713	0	0	0	0	0	2	1	0	1	2	1	1	0	1	0	1	7	2	2	0	0	0	0	0	0	9	1	0	4	3	4
Species_4714	6	1	4	0	1	1	1	3	0	0	0	3	1	0	1	1	3	1	0	2	3	0	0	1	1	3	1	0	2	0	0
Species_4715	1	0	0	1	1	0	2	3	1	0	0	0	0	0	2	0	1	0	1	0	4	0	0	2	0	6	1	1	2	1	2
Species_4716	12	3	3	3	2	3	1	3	13	5	3	9	0	0	1	3	13	5	4	0	14	1	1	7	1	23	5	2	6	6	4
Species_4717	5	0	3	0	2	2	1	1	3	0	0	1	0	2	1	2	6	2	3	0	11	2	2	2	1	10	2	4	1	1	5
Species_4718	9	0	5	2	1	2	0	2	5	3	0	3	0	1	3	0	15	3	6	2	11	2	0	5	3	10	1	1	2	3	5
Species_4719	3	1	0	0	2	1	0	2	0	0	1	1	0	1	0	0	4	3	0	0	3	1	0	2	0	5	1	0	2	2	1
Species_4720	5	3	2	0	3	6	0	0	1	3	0	4	0	0	0	0	5	1	3	1	3	1	0	1	1	7	1	1	2	2	0
Species_4721	1172	463	26	321	44	21	2	180	3	2	4	0	3	0	411	60	360	3	217	23	469	0	0	43	104	1390	358	196	120	398	841
Species_4722	10	4	6	0	4	1	0	6	10	3	0	1	0	7	2	2	22	1	16	3	3	3	0	0	0	37	0	8	5	20	10
Species_4723	241	57	47	37	14	7	4	21	193	28	10	28	10	28	18	30	138	8	35	6	140	4	14	30	9	271	9	57	67	65	233
Species_4724	16	2	7	2	11	4	4	14	14	3	1	3	4	2	0	0	86	29	49	3	16	5	5	6	0	47	18	4	7	10	5
Species_4725	4	1	1	0	6	5	0	5	5	3	2	3	0	2	1	1	10	4	4	0	12	1	1	5	1	21	2	4	5	9	6
Species_4726	7	0	4	0	7	2	1	7	2	3	2	4	1	1	3	1	13	5	4	1	13	2	3	5	1	10	1	1	2	2	4
Species_4727	16	0	9	2	1	5	1	4	6	2	0	5	2	7	1	4	12	2	8	0	2	0	1	1	0	8	0	1	1	0	6
Species_4728	1	1	0	0	4	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	3	0	0	2	0	3	0	0	0	3	0
Species_4729	32	2	9	2	12	11	3	7	18	10	2	18	13	2	11	1	67	18	29	14	48	4	8	26	4	71	6	6	14	32	19
Species_4730	4	2	2	0	1	0	0	2	1	1	2	0	0	0	0	0	6	2	4	0	5	0	0	4	0	7	1	0	3	3	1
Species_4731	7	2	1	1	1	0	0	0	1	1	0	1	0	2	0	1	4	1	2	1	5	0	2	1	0	5	2	1	1	1	3
Species_4732	65	15	17	23	63	27	11	29	42	53	12	26	31	29	10	12	200	79	65	6	90	15	10	35	19	162	23	28	23	63	11
Species_4733	2	1	0	0	2	0	0	1	140	34	0	17	0	1	1	0	7	2	1	0	3	0	1	1	0	1	1	0	0	0	0
Species_4734	273	40	217	4	93	19	4	25	7	5	2	4	71	35	4	3	74	42	10	5	530	237	118	166	3	40	13	6	5	13	29
Species_4735	17	5	5	2	5	3	10	9	14	5	4	10	4	6	0	2	27	8	12	0	13	2	2	5	2	42	11	2	15	9	8
Species_4736	3	0	1	0	0	0	0	0	0	1	1	1	0	0	3	0	1	0	0	0	5	1	1	0	1	2	2	0	0	0	3
Species_4737	25	5	9	2	3	3	2	11	16	3	4	8	6	12	3	7	29	1	9	4	17	4	3	2	2	20	8	1	0	4	7
Species_4738	118	21	70	9	36	39	18	84	100	61	15	79	25	40	23	16	187	71	56	19	147	36	24	52	22	318	93	45	72	81	35
Species_4739	22	6	5	1	8	18	1	10	12	8	3	3	3	1	6	6	67	14	19	15	38	4	5	16	4	54	6	8	11	21	15
Species_4740	14	4	5	2	8	15	2	3	21	9	1	6	1	9	1	4	60	8	45	3	19	4	3	4	2	50	1	4	12	9	8
Species_4741	2	0	2	0	2	1	0	3	1	1	1	3	0	2	0	2	8	2	2	1	6	1	0	3	2	10	0	1	3	3	2
Species_4742	21	4	10	2	7	11	4	15	21	8	6	20	6	20	3	2	52	21	15	3	31	9	2	10	6	73	17	9	21	17	6
Species_4743	6	0	1	3	0	0	0	1	2	1	1	1	1	0	0	0	4	2	1	0	0	0	0	0	0	4	0	1	1	2	0
Species_4744	214	65	67	22	19	28	7	60	152	58	18	73	20	28	48	31	124	34	26	14	108	19	9	21	12	213	39	18	36	44	162
Species_4745	55	11	20	7	40	29	12	44	57	32	9	65	33	29	10	11	150	44	47	20	94	10	9	36	24	238	87	23	61	50	34
Species_4746	3741	966	1308	442	337	475	84	403	2446	768	266	672	307	697	380	548	2430	183	628	126	1950	223	300	299	123	4194	266	619	1049	1038	3438
Species_4747	30	9	10	3	1	8	2	12	12	9	6	9	7	5	6	3	31	4	4	3	20	5	2	7	1	40	4	3	9	9	9
Species_4748	13	5	2	1	2	2	0	3	9	7	3	7	3	4	4	0	10	4	3	1	8	0	0	3	2	21	3	3	2	3	10
Species_4749	12	2	5	0	4	4	0	8	12	2	1	4	1	3	5	1	22	7	10	1	15	2	1	4	1	30	8	2	7	11	5
Species_4750	2	1	0	0	2	0	0	2	2	2	0	0	0	0	0	0	4	1	0	1	8	3	1	2	1	6	3	0	1	1	1
Species_4751	4	2	1	0	1	2	1	0	2	2	0	4	0	1	1	0	3	1	2	0	1	0	0	0	0	9	1	2	4	2	1
Species_4752	13	1	6	3	4	1	1	5	4	0	2	2	0	2	3	2	9	0	4	0	3	0	0	3	0	17	1	0	5	5	2
Species_4753	7	2	1	1	2	2	0	3	5	4	2	3	0	3	1	0	7	1	3	2	8	1	0	4	0	15	3	2	4	4	9
Species_4754	18	5	5	2	3	5	0	6	9	4	0	6	2	1	3	0	15	1	5	2	9	0	1	3	2	17	3	3	4	3	5
Species_4755	8	1	2	2	1	4	1	5	4	3	1	0	1	0	0	1	11	1	4	2	12	2	1	6	1	15	3	1	4	6	4
Species_4756	8	2	4	1	5	4	0	3	14	2	1	3	2	4	4	1	23	7	7	2	11	2	2	3	1	23	4	2	5	6	0
Species_4757	7	0	2	3	3	3	0	2	4	3	0	0	2	1	1	0	14	2	7	1	5	2	1	0	1	26	5	3	2	7	2
Species_4758	2	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	3	0	2	0	4	2	0	0	0	5	4	0	1	0	0
Species_4759	8	2	4	1	2	4	1	3	10	3	1	5	0	2	1	1	22	4	13	1	15	2	0	7	2	14	1	4	1	4	4
Species_4760	5	0	2	1	0	2	0	0	4	1	0	1	0	0	2	1	10	3	2	1	5	0	1	2	2	10	1	1	3	2	1
Species_4761	2	0	1	0	0	0	2	1	2	1	1	0	3	2	0	0	13	4	3	4	4	1	1	1	0	3	0	2	1	0	1
Species_4762	25	7	13	1	22	12	1	8	28	7	5	6	6	0	2	3	27	5	10	7	16	3	0	5	1	38	12	2	14	3	7
